2024-06-11 19:01:42 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:01:49 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:01:52 - Dispositivo: 1, Secuencia: 4, Aforo: 1
2024-06-11 19:01:55 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:01:57 - Dispositivo: 1, Secuencia: 6, Aforo: 1
2024-06-11 19:02:00 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:02:02 - Dispositivo: 1, Secuencia: 8, Aforo: 1
2024-06-11 19:02:04 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:02:07 - Dispositivo: 1, Secuencia: 10, Aforo: 1
2024-06-11 19:02:10 - Dispositivo: 1, Secuencia: 11, Aforo: 0
2024-06-11 19:02:12 - Dispositivo: 1, Secuencia: 12, Aforo: 1
2024-06-11 19:02:15 - Dispositivo: 1, Secuencia: 13, Aforo: 0
2024-06-11 19:02:18 - Dispositivo: 1, Secuencia: 14, Aforo: 1
2024-06-11 19:02:20 - Dispositivo: 1, Secuencia: 15, Aforo: 0
2024-06-11 19:02:24 - Dispositivo: 1, Secuencia: 16, Aforo: 1
2024-06-11 19:02:27 - Dispositivo: 1, Secuencia: 17, Aforo: 0
2024-06-11 19:02:29 - Dispositivo: 1, Secuencia: 18, Aforo: 1
2024-06-11 19:02:33 - Dispositivo: 1, Secuencia: 19, Aforo: 0
2024-06-11 19:02:36 - Dispositivo: 1, Secuencia: 20, Aforo: 1
2024-06-11 19:02:38 - Dispositivo: 1, Secuencia: 21, Aforo: 0
2024-06-11 19:02:41 - Dispositivo: 1, Secuencia: 22, Aforo: 1
2024-06-11 19:02:43 - Dispositivo: 1, Secuencia: 23, Aforo: 0
2024-06-11 19:02:46 - Dispositivo: 1, Secuencia: 24, Aforo: 1
2024-06-11 19:02:49 - Dispositivo: 1, Secuencia: 25, Aforo: 0
2024-06-11 19:02:52 - Dispositivo: 1, Secuencia: 26, Aforo: 1
2024-06-11 19:02:55 - Dispositivo: 1, Secuencia: 27, Aforo: 0
2024-06-11 19:02:58 - Dispositivo: 1, Secuencia: 28, Aforo: 1
2024-06-11 19:03:01 - Dispositivo: 1, Secuencia: 29, Aforo: 0
2024-06-11 19:03:07 - Dispositivo: 1, Secuencia: 30, Aforo: 1
2024-06-11 19:03:08 - Dispositivo: 1, Secuencia: 31, Aforo: 0
2024-06-11 19:03:11 - Dispositivo: 1, Secuencia: 32, Aforo: 1
2024-06-11 19:03:13 - Dispositivo: 1, Secuencia: 33, Aforo: 0
2024-06-11 19:03:17 - Dispositivo: 1, Secuencia: 34, Aforo: 1
2024-06-11 19:03:21 - Dispositivo: 1, Secuencia: 35, Aforo: 0
2024-06-11 19:03:24 - Dispositivo: 1, Secuencia: 36, Aforo: 1
2024-06-11 19:03:27 - Dispositivo: 1, Secuencia: 37, Aforo: 0
2024-06-11 19:04:06 - Dispositivo: 1, Secuencia: 38, Aforo: 1
2024-06-11 19:04:09 - Dispositivo: 1, Secuencia: 39, Aforo: 0
2024-06-11 19:04:18 - Dispositivo: 1, Secuencia: 40, Aforo: 1
2024-06-11 19:04:20 - Dispositivo: 1, Secuencia: 41, Aforo: 0
2024-06-11 19:04:23 - Dispositivo: 1, Secuencia: 42, Aforo: 1
2024-06-11 19:04:25 - Dispositivo: 1, Secuencia: 43, Aforo: 0
2024-06-11 19:04:28 - Dispositivo: 1, Secuencia: 44, Aforo: 1
2024-06-11 19:04:31 - Dispositivo: 1, Secuencia: 45, Aforo: 0
2024-06-11 19:04:34 - Dispositivo: 1, Secuencia: 46, Aforo: 1
2024-06-11 19:04:37 - Dispositivo: 1, Secuencia: 47, Aforo: 0
2024-06-11 19:04:40 - Dispositivo: 1, Secuencia: 48, Aforo: 1
2024-06-11 19:04:43 - Dispositivo: 1, Secuencia: 49, Aforo: 0
2024-06-11 19:04:46 - Dispositivo: 1, Secuencia: 50, Aforo: 1
2024-06-11 19:04:49 - Dispositivo: 1, Secuencia: 51, Aforo: 0
2024-06-11 19:04:59 - Dispositivo: 1, Secuencia: 52, Aforo: 1
2024-06-11 19:05:01 - Dispositivo: 1, Secuencia: 53, Aforo: 0
2024-06-11 19:05:04 - Dispositivo: 1, Secuencia: 54, Aforo: 1
2024-06-11 19:05:06 - Dispositivo: 1, Secuencia: 55, Aforo: 0
2024-06-11 19:05:09 - Dispositivo: 1, Secuencia: 56, Aforo: 1
2024-06-11 19:05:12 - Dispositivo: 1, Secuencia: 57, Aforo: 0
2024-06-11 19:05:15 - Dispositivo: 1, Secuencia: 58, Aforo: 1
2024-06-11 19:05:18 - Dispositivo: 1, Secuencia: 59, Aforo: 0
2024-06-11 19:05:20 - Dispositivo: 1, Secuencia: 60, Aforo: 1
2024-06-11 19:05:23 - Dispositivo: 1, Secuencia: 61, Aforo: 0
2024-06-11 19:05:34 - Dispositivo: 1, Secuencia: 62, Aforo: 1
2024-06-11 19:05:38 - Dispositivo: 1, Secuencia: 63, Aforo: 0
2024-06-11 19:05:41 - Dispositivo: 1, Secuencia: 64, Aforo: 1
2024-06-11 19:05:44 - Dispositivo: 1, Secuencia: 65, Aforo: 0
2024-06-11 19:05:53 - Dispositivo: 1, Secuencia: 66, Aforo: 1
2024-06-11 19:05:55 - Dispositivo: 1, Secuencia: 67, Aforo: 0
2024-06-11 19:05:58 - Dispositivo: 1, Secuencia: 68, Aforo: 1
2024-06-11 19:06:01 - Dispositivo: 1, Secuencia: 69, Aforo: 0
2024-06-11 19:06:04 - Dispositivo: 1, Secuencia: 70, Aforo: 1
2024-06-11 19:06:06 - Dispositivo: 1, Secuencia: 71, Aforo: 0
2024-06-11 19:06:09 - Dispositivo: 1, Secuencia: 72, Aforo: 1
2024-06-11 19:06:12 - Dispositivo: 1, Secuencia: 73, Aforo: 0
2024-06-11 19:06:15 - Dispositivo: 1, Secuencia: 74, Aforo: 1
2024-06-11 19:06:17 - Dispositivo: 1, Secuencia: 75, Aforo: 0
2024-06-11 19:06:20 - Dispositivo: 1, Secuencia: 76, Aforo: 1
2024-06-11 19:06:22 - Dispositivo: 1, Secuencia: 77, Aforo: 0
2024-06-11 19:06:24 - Dispositivo: 1, Secuencia: 78, Aforo: 1
2024-06-11 19:06:26 - Dispositivo: 1, Secuencia: 79, Aforo: 0
2024-06-11 19:06:29 - Dispositivo: 1, Secuencia: 80, Aforo: 1
2024-06-11 19:06:32 - Dispositivo: 1, Secuencia: 81, Aforo: 0
2024-06-11 19:06:34 - Dispositivo: 1, Secuencia: 82, Aforo: 1
2024-06-11 19:06:37 - Dispositivo: 1, Secuencia: 83, Aforo: 0
2024-06-11 19:06:54 - Dispositivo: 1, Secuencia: 84, Aforo: 1
2024-06-11 19:06:56 - Dispositivo: 1, Secuencia: 85, Aforo: 0
2024-06-11 19:06:58 - Dispositivo: 1, Secuencia: 86, Aforo: 1
2024-06-11 19:07:01 - Dispositivo: 1, Secuencia: 87, Aforo: 0
2024-06-11 19:07:03 - Dispositivo: 1, Secuencia: 88, Aforo: 1
2024-06-11 19:07:06 - Dispositivo: 1, Secuencia: 89, Aforo: 0
2024-06-11 19:07:09 - Dispositivo: 1, Secuencia: 90, Aforo: 1
2024-06-11 19:07:11 - Dispositivo: 1, Secuencia: 91, Aforo: 0
2024-06-11 19:07:13 - Dispositivo: 1, Secuencia: 92, Aforo: 1
2024-06-11 19:07:16 - Dispositivo: 1, Secuencia: 93, Aforo: 0
2024-06-11 19:07:18 - Dispositivo: 1, Secuencia: 94, Aforo: 1
2024-06-11 19:07:21 - Dispositivo: 1, Secuencia: 95, Aforo: 0
2024-06-11 19:07:24 - Dispositivo: 1, Secuencia: 96, Aforo: 1
2024-06-11 19:07:26 - Dispositivo: 1, Secuencia: 97, Aforo: 0
2024-06-11 19:07:29 - Dispositivo: 1, Secuencia: 98, Aforo: 1
2024-06-11 19:07:31 - Dispositivo: 1, Secuencia: 99, Aforo: 0
2024-06-11 19:07:34 - Dispositivo: 1, Secuencia: 100, Aforo: 1
2024-06-11 19:07:36 - Dispositivo: 1, Secuencia: 101, Aforo: 0
